comment_sentiment_type,comment_sentiment_name,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_sentiment_ratio,overall_ratio
neutral,一般,画面声音,配乐优秀,19,66.8407,67.74,0.0083,0.0028
neutral,一般,节奏体验,节奏平淡,17,65.5848,67.18,0.0074,0.0025
negative,差评,人物表演,表演尴尬,15,64.534,63.93,0.0067,0.0022
negative,差评,整体观感,期待落差,18,62.8637,44.33,0.0081,0.0026
neutral,一般,类型题材,喜剧效果,21,62.4889,18.52,0.0092,0.003
positive,好评,观看体验,影院体验,8,61.3783,3317.38,0.0034,0.0012
neutral,一般,人物关系,家庭亲情,17,60.7451,57.82,0.0074,0.0025
neutral,一般,节奏体验,观看疲劳,15,60.4016,56.67,0.0066,0.0022
neutral,一般,情怀记忆,多年重看,17,59.3376,77.29,0.0074,0.0025
positive,好评,剧情内容,剧情老套,8,58.8406,982.75,0.0034,0.0012
negative,差评,文化背景,中国语境,13,57.6193,75.23,0.0058,0.0019
negative,差评,类型题材,喜剧效果,16,55.1499,57.69,0.0072,0.0023
neutral,一般,类型题材,爱情题材,16,55.1233,38.25,0.007,0.0023
positive,好评,情绪共鸣,热血,7,53.8429,3574.29,0.0029,0.001
positive,好评,情绪共鸣,震撼,6,51.8521,2348.67,0.0025,0.0009
neutral,一般,类型题材,原著改编,16,51.1347,330.44,0.007,0.0023
negative,差评,剧情内容,剧情完整,12,51.0096,94.92,0.0054,0.0017
neutral,一般,导演叙事,表达说教,11,49.1348,45.73,0.0048,0.0016
negative,差评,导演叙事,叙事优秀,14,48.2198,34.86,0.0063,0.002
neutral,一般,情绪共鸣,压抑,11,47.2806,92.18,0.0048,0.0016
negative,差评,主题价值,时代命运,15,46.7256,21.47,0.0067,0.0022
negative,差评,人物关系,性别表达,10,46.7222,45.6,0.0045,0.0014
positive,好评,剧情内容,剧情无聊,6,45.7967,1282.17,0.0025,0.0009
neutral,一般,情怀记忆,怀旧情怀,16,45.1862,43.69,0.007,0.0023
negative,差评,类型题材,动画题材,17,45.0302,8.76,0.0076,0.0025
negative,差评,主题价值,价值观争议,11,43.4191,67.73,0.0049,0.0016
neutral,一般,导演叙事,叙事优秀,10,42.7966,103.5,0.0044,0.0014
negative,差评,导演叙事,表达说教,12,41.6518,18.0,0.0054,0.0017
positive,好评,文化背景,社会群体,5,41.2817,3185.6,0.0021,0.0007
negative,差评,文化背景,美国语境,11,40.6746,21.64,0.0049,0.0016
negative,差评,主题价值,人性思考,13,40.4489,29.54,0.0058,0.0019
negative,差评,画面声音,配乐优秀,12,40.1236,36.5,0.0054,0.0017
positive,好评,人物关系,性别表达,5,39.9659,2247.2,0.0021,0.0007
negative,差评,人物表演,演技好,13,38.9709,27.31,0.0058,0.0019
negative,差评,情怀记忆,怀旧情怀,10,38.7913,93.0,0.0045,0.0014
negative,差评,节奏体验,节奏拖沓,16,37.4117,6.88,0.0072,0.0023
negative,差评,剧情内容,剧情理想化,10,36.2974,73.4,0.0045,0.0014
neutral,一般,人物关系,人物命运,6,36.2359,949.33,0.0026,0.0009
neutral,一般,剧情内容,剧情理想化,9,34.9107,183.33,0.0039,0.0013
negative,差评,节奏体验,时长过长,7,34.6488,261.43,0.0031,0.001
positive,好评,节奏体验,观看疲劳,4,32.2979,2145.5,0.0017,0.0006
positive,好评,整体观感,期待落差,4,31.5935,5194.25,0.0017,0.0006
positive,好评,画面声音,特效优秀,4,31.4625,1782.25,0.0017,0.0006
positive,好评,文化背景,历史文化,4,30.886,1290.25,0.0017,0.0006
neutral,一般,节奏体验,时长过长,8,30.3598,183.75,0.0035,0.0012
positive,好评,人物表演,表演尴尬,3,30.2252,8898.67,0.0013,0.0004
negative,差评,人物表演,台词经典,8,30.0625,28.25,0.0036,0.0012
negative,差评,人物关系,人物命运,9,29.7254,23.89,0.004,0.0013
neutral,一般,类型题材,战争历史,7,29.6989,602.86,0.0031,0.001
negative,差评,类型题材,犯罪悬疑,9,29.5279,12.67,0.004,0.0013
neutral,一般,人物表演,表演尴尬,8,29.1164,30.25,0.0035,0.0012
neutral,一般,情怀记忆,童年回忆,12,28.6684,34.0,0.0052,0.0017
neutral,一般,类型题材,科幻设定,8,28.2457,23.62,0.0035,0.0012
negative,差评,情怀记忆,个人经历共鸣,7,26.1883,24.86,0.0031,0.001
negative,差评,类型题材,科幻设定,9,25.8854,12.11,0.004,0.0013
neutral,一般,争议感受,过誉,6,25.6859,501.0,0.0026,0.0009
negative,差评,画面声音,画面优秀,8,25.3862,40.25,0.0036,0.0012
neutral,一般,导演叙事,剪辑出色,5,25.375,405.4,0.0022,0.0007
positive,好评,节奏体验,时长过长,3,25.2092,4097.33,0.0013,0.0004
negative,差评,情绪共鸣,压抑,8,24.9627,33.0,0.0036,0.0012
negative,差评,情绪共鸣,治愈,6,24.1581,186.33,0.0027,0.0009
neutral,一般,文化背景,历史文化,6,22.9526,39.67,0.0026,0.0009
negative,差评,情怀记忆,童年回忆,6,22.8434,451.17,0.0027,0.0009
neutral,一般,文化背景,美国语境,7,22.4959,14.43,0.0031,0.001
negative,差评,人物关系,家庭亲情,6,21.858,38.5,0.0027,0.0009
neutral,一般,人物表演,台词经典,7,21.5159,14.86,0.0031,0.001
neutral,一般,观看体验,补标记录,10,21.1272,7.8,0.0044,0.0014
neutral,一般,文化背景,中国语境,6,20.5792,73.83,0.0026,0.0009
neutral,一般,类型题材,犯罪悬疑,6,20.2409,572.17,0.0026,0.0009
positive,好评,文化背景,日本语境,3,19.8171,396.33,0.0013,0.0004
positive,好评,导演叙事,表达说教,2,19.5544,6566.0,0.0008,0.0003
negative,差评,人物关系,友情关系,5,18.8151,26.6,0.0022,0.0007
neutral,一般,画面声音,氛围感强,4,18.3949,173.5,0.0017,0.0006
negative,差评,情怀记忆,多年重看,5,17.7065,65.6,0.0022,0.0007
neutral,一般,主题价值,价值观争议,6,17.6833,187.67,0.0026,0.0009
negative,差评,情绪共鸣,震撼,4,16.6971,215.0,0.0018,0.0006
positive,好评,观看体验,补标记录,2,16.2733,1287.0,0.0008,0.0003
neutral,一般,情怀记忆,个人经历共鸣,6,15.8496,16.17,0.0026,0.0009
negative,差评,类型题材,爱情题材,4,15.6231,32.25,0.0018,0.0006
neutral,一般,情绪共鸣,震撼,3,14.7902,618.33,0.0013,0.0004
negative,差评,画面声音,特效优秀,6,14.5659,10.17,0.0027,0.0009
negative,差评,观看体验,补标记录,6,14.1478,5.5,0.0027,0.0009
neutral,一般,节奏体验,节奏拖沓,6,14.0144,7.67,0.0026,0.0009
neutral,一般,观看体验,影院体验,5,11.9622,9.6,0.0022,0.0007
negative,差评,争议感受,过誉,3,11.8537,20.0,0.0013,0.0004
neutral,一般,人物关系,性别表达,2,10.2449,142.0,0.0009,0.0003
negative,差评,画面声音,画面一般,4,9.416,3.0,0.0018,0.0006
positive,好评,节奏体验,节奏紧凑,1,9.1542,3477.0,0.0004,0.0001
neutral,一般,文化背景,日本语境,3,8.9188,21.33,0.0013,0.0004
neutral,一般,画面声音,特效优秀,3,8.3753,10.33,0.0013,0.0004
neutral,一般,争议感受,难以理解,2,8.0867,30.5,0.0009,0.0003
positive,好评,整体观感,无感不喜欢,1,7.9508,1043.0,0.0004,0.0001
neutral,一般,人物表演,人物单薄,1,7.8309,925.0,0.0004,0.0001
neutral,一般,观看体验,重复观看,1,7.7429,847.0,0.0004,0.0001
neutral,一般,观看体验,观看门槛,1,7.6267,754.0,0.0004,0.0001
positive,好评,主题价值,价值观争议,1,7.2383,511.0,0.0004,0.0001
negative,差评,观看体验,影院体验,2,6.7362,56.5,0.0009,0.0003
positive,好评,观看体验,重复观看,1,6.6276,277.0,0.0004,0.0001
negative,差评,争议感受,难以理解,3,5.9957,2.33,0.0013,0.0004
positive,好评,争议感受,难以理解,1,5.8828,131.0,0.0004,0.0001
negative,差评,文化背景,社会群体,2,5.8067,22.0,0.0009,0.0003
positive,好评,争议感受,过誉,1,5.7274,112.0,0.0004,0.0001
