primary_genre,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_genre_ratio
纪录片,画面声音,画面优秀,2,12.5674,315.0,0.0317
纪录片,情绪共鸣,感动,2,12.2617,278.5,0.0317
纪录片,情绪共鸣,压抑,1,8.8244,2500.0,0.0159
纪录片,情绪共鸣,震撼,1,7.731,837.0,0.0159
纪录片,人物表演,演技好,1,7.3784,588.0,0.0159
纪录片,导演叙事,导演能力强,1,6.8833,358.0,0.0159
纪录片,画面声音,配乐优秀,1,6.4806,239.0,0.0159
纪录片,剧情内容,剧情精彩,1,6.4765,238.0,0.0159
纪录片,文化背景,美国语境,1,6.2933,198.0,0.0159
纪录片,文化背景,历史文化,2,5.912,6.5,0.0317
纪录片,文化背景,日本语境,1,5.5539,94.0,0.0159
纪录片,情绪共鸣,治愈,1,5.1271,61.0,0.0159
纪录片,人物关系,爱情关系,2,4.9957,3.5,0.0317
纪录片,剧情内容,剧情反转,1,4.9703,52.0,0.0159
纪录片,主题价值,价值观争议,1,3.1972,8.0,0.0159
纪录片,人物表演,角色鲜明,1,2.9459,6.0,0.0159
纪录片,人物关系,友情关系,1,2.7918,5.0,0.0159
纪录片,文化背景,社会群体,2,2.6931,0.5,0.0317
纪录片,类型题材,喜剧效果,1,2.6094,4.0,0.0159
