movie_name,comment_sentiment_type,comment_sentiment_name,aspect_name,reason_name,review_count,total_like_count,weighted_score,total_reason_mentions,reason_ratio
触不可及 Intouchables,neutral,一般,画面声音,配乐优秀,5,270,24.1309,6,0.8333
触不可及 Intouchables,neutral,一般,画面声音,画面优秀,1,22,4.1355,6,0.1667
触不可及 Intouchables,neutral,一般,类型题材,原著改编,3,1056,18.4093,9,0.3333
触不可及 Intouchables,neutral,一般,类型题材,喜剧效果,5,144,17.6125,9,0.5556
触不可及 Intouchables,neutral,一般,类型题材,动画题材,1,4,2.6094,9,0.1111
触不可及 Intouchables,neutral,一般,节奏体验,节奏平淡,2,292,11.4838,3,0.6667
触不可及 Intouchables,neutral,一般,节奏体验,节奏拖沓,1,104,5.654,3,0.3333
触不可及 Intouchables,neutral,一般,观看体验,重复观看,1,29,4.4012,3,0.3333
触不可及 Intouchables,neutral,一般,观看体验,影院体验,1,22,4.1355,3,0.3333
触不可及 Intouchables,neutral,一般,观看体验,推荐观看,1,7,3.0794,3,0.3333
触不可及 Intouchables,positive,好评,主题价值,现实社会,4,5557,31.7563,14,0.2857
触不可及 Intouchables,positive,好评,主题价值,人生意义,4,12293,31.555,14,0.2857
触不可及 Intouchables,positive,好评,主题价值,人性思考,3,4133,21.1949,14,0.2143
触不可及 Intouchables,positive,好评,主题价值,自由希望,3,4098,20.9732,14,0.2143
触不可及 Intouchables,positive,好评,人物关系,友情关系,7,11370,54.9922,16,0.4375
触不可及 Intouchables,positive,好评,人物关系,爱情关系,5,14123,37.5346,16,0.3125
触不可及 Intouchables,positive,好评,人物关系,人物命运,4,8569,28.072,16,0.25
触不可及 Intouchables,positive,好评,人物表演,角色鲜明,4,4696,30.566,9,0.4444
触不可及 Intouchables,positive,好评,人物表演,演员加分,2,2886,15.4064,9,0.2222
触不可及 Intouchables,positive,好评,人物表演,演技好,2,1481,14.346,9,0.2222
触不可及 Intouchables,positive,好评,人物表演,台词经典,1,529,7.2729,9,0.1111
触不可及 Intouchables,positive,好评,剧情内容,剧情精彩,7,14741,57.4085,16,0.4375
